;;PROCESO GESTIÓN DEL TALENTO HUMANO;;;;;;;;;;;;;;"Código: FGN-AP01-F-182
 
 Versión: 01";;;;;;;;;
8;2/10/2025;3 - NOROCCIDENTAL;Antioquia;Oficina Fiscal Seccional y asistente de fiscal.;Fiscalía Guatapé;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia almacenamiento de cajas por encima de ultima división de estanterías.;Se sugiere utilizar estanterías y archivadores existentes para el almacenamiento de cajas y documentos.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
9;2/10/2025;3 - NOROCCIDENTAL;Antioquia;"Oficina Fiscal seccional y asistente de fiscal.
Cuarto de aseo.";Fiscalía Guatapé;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;"Se evidencian cables sueltos en los puestos de trabajo.
Se evidencia interruptor sin tapa
de protección.";"Se sugiere canalizar cableado.
Se sugiere instalación de la tapa de protección faltante para el interruptor.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
10;2/10/2025;3 - NOROCCIDENTAL;Antioquia;Oficina Fiscal Seccional.;Fiscalía Guatapé;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);III;Se evidencia luminaria fundida;Se sugiere cambio de luminaria fundida;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
11;2/12/2025;3 - NOROCCIDENTAL;Antioquia;"Paredes de las oficinas, pasillos y archivo de la unidad local y seccional.
Pasillo unidad local.";Fiscalía Marinilla;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencian grietas y humedades en las paredes.
Se evidencian baldosas agrietadas.";Se sugiere gestionar con el área de mantenimiento de sedes las reparaciones en el inmueble.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
12;2/12/2025;3 - NOROCCIDENTAL;Antioquia;Oficina Fiscal Local.;Fiscalía Marinilla;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia desnivel sin demarcar;Se sugiere demarcar desnivel.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
13;2/12/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de todos los pisos del edificio.;Fiscalía Marinilla;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian escaleras sin cinta antideslizante.;"Se sugiere gestionar con el área de mantenimiento de sedes la instalación
de cintas antideslizantes.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
14;2/12/2025;3 - NOROCCIDENTAL;Antioquia;Unidad Seccional y Unidad Local.;Fiscalía Marinilla;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencia almacenamiento de cajas por   encima   de   la   última   división   de estanterías.
Se evidencian estanterías sin anclar a piso o pared";"Se sugiere utilizar estanterías y archivadores existentes para el almacenamiento de cajas y documentos.
Se sugiere anclar estanterías existentes.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
15;2/12/2025;3 - NOROCCIDENTAL;Antioquia;"Oficinas de los puestos de trabajo de las unidades local y seccional.
Puesto de trabajo asistente de fiscal seccional.
Pasillo unidad seccional.";Fiscalía Marinilla;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;"Se  evidencian  cables  sueltos  en  los puestos de trabajo.
Se evidencia RAC eléctrico con cables por fuera.
Se evidencia enchufe sin tapa de protección.";"Se sugiere canalizar cableado.
Se sugiere organizar y canalizar cableado del RAC.
Se sugiere instalación de la tapa de protección faltante para el enchufe";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
16;2/12/2025;3 - NOROCCIDENTAL;Antioquia;Unidad Seccional y Unidad Local.;Fiscalía Marinilla;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);III;"Se evidencian plafones sin bombillas
Se evidencian luminarias fundidas.";"Se sugiere instalar bombillas faltantes.
Se sugiere cambio de luminaria en mal estado.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
17;2/17/2025;3 - NOROCCIDENTAL;Antioquia;"Paredes de las oficinas, pasillos patio";Fiscalía San Vicente Ferrer;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian grietas y humedades en las paredes.;Se sugiere gestionar con el área de mantenimiento de sedes las reparaciones en el inmueble.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
18;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Acceso al baño y patio.;Fiscalía San Vicente Ferrer;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian desniveles sin demarcar;Se sugiere demarcar desniveles.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
19;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de acceso a la sede.;Fiscalía San Vicente Ferrer;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian escaleras sin cinta antideslizante y pasamanos en un solo costado.;"Se sugiere gestionar con el área de mantenimiento de sedes la
instalación de cintas antideslizantes y del pasamanos faltante.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
20;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Archivo.;Fiscalía San Vicente Ferrer;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencia almacenamiento de cajas por   encima   de   la   última   división   de estanterías.
Se evidencian estanterías sin anclar a piso o pared";"Se sugiere utilizar estanterías y archivadores existentes para el almacenamiento de cajas y documentos.
Se sugiere anclar estanterías existentes.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
21;2/17/2025;3 - NOROCCIDENTAL;Antioquia;"Oficinas de los puestos de trabajo de la sede.
Oficina del investigador.
Oficina fiscal local.
Baño";Fiscalía San Vicente Ferrer;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;"Se  evidencian  cables  sueltos  en  los puestos de trabajo.
Se evidencia RAC eléctrico con cables por fuera.
Se   evidencia   enchufe   con   tapa   de protección desprendida.";"Se sugiere canalizar cableado.
Se sugiere organizar y canalizar cableado del RAC.
Se sugiere mantenimiento de la tapa desprendida para el enchufe.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
22;2/18/2025;3 - NOROCCIDENTAL;Antioquia;"Local comercial (Restaurante-bar) al lado de la sede, además del constante tráfico vehicular de la zona.";Fiscalía Carmen de Viboral ;FÍSICO - RUIDO (IMPACTO - INTERMITENTE - CONTINUO);III;Ruido continuo por tránsito vehicular y local comercial (Restaurante/bar);"Se sugiere colocarle en dicha estructura de madera cubículos o módulos sus respectivas ventanas laterales donde los funcionarios realizan su actividad, así se minimiza la exposición a la fuente de ruido identificada";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
23;2/18/2025;3 - NOROCCIDENTAL;Antioquia;Oficina fiscal local;Fiscalía Carmen de Viboral ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);III;Iluminación;"Se sugiere el cambio de los tubos de descarga por unas de mayor potencia o en su defecto la instalación de lámparas adicionales; la luminaria (tubos e instalación) de la sede está en buenas condiciones, pero la iluminación de la sede es baja.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
24;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Oficina de la Fiscal- lado de su escritorio;Fiscalía Alejandría ;CONDICIONES DE SEGURIDAD 2 - ENTORNOS NO CONTROLADOS;III;Perímetro húmedo de (50cm x 50 aprox.);Se sugiere cubrir de manera adecuada o sellar dicha condición identificada.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
25;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo de zona de archivo hacia oficina de la servidora.;Fiscalía Alejandría ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";II;Se identifica obstáculo fijo en el piso;Se sugiere pintar los ángulos metálicos (con pintura tipo tráfico pesado) color amarillo para su respectiva visualización;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
26;2/17/2025;3 - NOROCCIDENTAL;Antioquia;Zona frontal de la sede.;Fiscalía Alejandría ;FÍSICO - RUIDO (IMPACTO - INTERMITENTE - CONTINUO);III;Disconfort auditivo;"Se Sugiere instalación de vidrio transparente en reja de ingreso de la sede, permite la visualización de usuarios y minimiza la exposición de los servidores a
la fuente de ruido.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
27;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Área de almacenamiento administrativo oficina No. 5 (Fiscalía Seccional);Fiscalía Santuario ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";II;"Se evidencian algunas de las estanterías no están aseguradas adecuadamente, presentan exceso de capacidad de carga (archivos, cajas y documentos) o falta de orden, aseo y almacenamiento seguro de los archivos del área";"Se sugiere almacenar de manera adecuada archivos, cajas y documentos.
Se sugieres asegurar las estanterías fijas de almacenamiento,       que       impidan       su movimiento.  -Se  sugiere  dejar  pasillos  de circulación dentro del área, despejados
Se sugiere capacitación de orden y aseo a los(as) Servidores(as)";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
28;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Cocineta Ubicada en oficina No. 5 (Fiscal seccional);Fiscalía Santuario ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencia sin puerta en la cajonera de la cocineta, además, del uso del gabinete para “almacenamiento” de archivos.";Se sugiere instalación de puerta faltante en cajonera de la cocineta.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
29;2/11/2025;3 - NOROCCIDENTAL;Antioquia;"Se evidencia en la oficina N° 4 (Fiscal local 02), el desprendimiento de tapa en una toma eléctrica, en costado final derecho de la oficina.";Fiscalía Santuario ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;Toma eléctrico presenta quiebre en tapa.;Se sugiere cambio de tapa;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
30;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Patio pequeño zona oficina No. 5 (Fiscal seccional);Fiscalía Santuario ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Falta de orden y aseo en el lugar.;"Se sugiere orden y aseo para el área identificada, almacenamiento adecuado de objetos y materiales.";Bienes y contratista de Aseo;;;;;;;;;;;;;;;
31;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Sede Fiscalía Local y Seccional (El santuario);Fiscalía Santuario ;FENÓMENOS NATURALES - ATENTADOS - DESORDEN PÚBLICO - INCURSIONES - ROBO ATRACO ASALTO - ZONA DE CONFLICTOS;II;"Servidores manifiestan que usuarios sospechosos  han visitado su sede, y salen sin explicación o control alguno.
La sede no cuenta con vigilancia física, ni reja de seguridad de ingreso o algún control de acceso seguro";Se sugiere visita del grupo de seguridad para definir planes de intervención.; Seguridad Física;;;;;;"Tener en cuenta que el titulo que aparece en la lista de desplegable, dice fenómeno natural y debe decir fenómenos sociales  ";;;;;;;;;
32;2/13/2025;3 - NOROCCIDENTAL;Antioquia;"Zona de acceso hacia el baño de hombres, oficina Fiscal N°18.";Fiscalía La Ceja ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Grieta en esquina de muro (0.5mm aprox.);Se sugiere resanar dicha grieta.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
33;2/13/2025;3 - NOROCCIDENTAL;Antioquia;Oficina de asistente de fiscal ubicada en pasillo.;Fiscalía La Ceja ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;(Desajuste o desprendimiento de tapa);Se sugiere cambio o ajuste de tapa;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
34;2/6/2025;3 - NOROCCIDENTAL;Antioquia;"Oficina de archivo, Corredor.";Fiscalía Abejorral ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian grietas en el piso de la sede.;"Se sugiere revisión y mantenimiento a las partes afectadas por grietas, con el fin de que las mismas no continúen avanzando.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
35;2/6/2025;3 - NOROCCIDENTAL;Antioquia;"Ingreso a la sede (piso 1).
Balcón de la sede (piso 2).";Fiscalía Abejorral ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian desniveles sin demarcar.;Se sugiere demarcar desniveles.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
36;2/6/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de la sede.;Fiscalía Abejorral ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia escaleras sin pasamanos en uno de los costados y con cinta antideslizante deteriorada.;"Se sugiere instalar pasamanos faltante, mantenimiento a la cinta antideslizante y garantizar que la misma cubra los bordes de los peldaños.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
37;2/6/2025;3 - NOROCCIDENTAL;Antioquia;"Archivo (oficina en piso 2) y cuarto de aseo.
Oficina fiscalía local.";Fiscalía Abejorral ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencian cajas de archivo almacenadas superando el último nivel de la estantería.
Se evidencian cajas de archivo ubicadas en la parte alta de la pared (cajones empotrados de concreto).";"Se  sugiere  almacenar  cajas  de  archivo  sin  superar  el  último  nivel  de  la estantería.
Se sugiere reubicar cajas de archivo en mobiliario correspondiente o instalar barreras que permitan un almacenamiento adecuado.";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
38;2/6/2025;3 - NOROCCIDENTAL;Antioquia;Oficinas.;Fiscalía Abejorral ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;"Se evidencia cableado sin canalizar.
Se evidencia equipo y enchufe ubicados sobre una base de icopor.";" Se sugiere canalizar cableado.
 Se sugiere retirar base de icopor.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
39;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Oficinas ;Fiscalía San Carlos ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia silla de trabajo con ruedas faltantes.;Se sugiere instalar ruedas faltantes o reemplazo de la silla de trabajo.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
40;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Archivo.;Fiscalía San Carlos ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian cajas de archivo almacenadas superando el último nivel de la estantería.;Se sugiere almacenar cajas de archivo sin superar el último nivel de la estantería.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
41;2/11/2025;3 - NOROCCIDENTAL;Antioquia;Oficinas ;Fiscalía San Carlos ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;Se evidencia cableado sin canalizar.;Se sugiere canalizar el cableado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
42;2/12/2025;3 - NOROCCIDENTAL;Antioquia;"Oficina fiscal local, patio, archivo, zonas comunes.
Puerta principal (ingreso a la sede).";Fiscalía San Rafael ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencian humedades en paredes y techos.
Se evidencia puerta con deterioro y corrosión en el acero.";"Se sugiere gestionar la reparación de humedades en el inmueble.
Se sugiere la reparación y/o reemplazo de la puerta.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
